"","numEscroete","escroete","numConnetablie","connetablie","rdv","numRente","rente"
"11","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","11.5","Sour 2 maisons JEHAN DE LEWARDE, ki furent GILLION CRAMETE, et sour tout le tenement, aprés le fons de le tiere, marc et demi. Si sient entre le tenement HUON DE HERIN, d'une part, et le tenement WILLIAUME RAMET, d'autre part. "
"12","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","12.6","Sour le maison ROBIERT DE FIERIN et sour tout le tenement, et sour le maison PIERON LE RAMET et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Robiert, ki fu vallés ROBERT D'ESTREES, d'une part, et le tenement SOHIER DOU MARÉS, d'autre part. "
"13","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","13.7","Sour le maison Robiert, ki fu vallés ROBERT D'ESTREES, et sour tout le tenement, 2 capons, dou fons de le tiere. Si siet entre le tenement PIERON LE RAMET, d'une part, et le tenement JEHAN MOUTON, d'autre part.  "
"14","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","14.8","Sour toutes les maisons BAUDE L'ARTISIEN et sour tous les tenemens, aprés le fons de le tiere, demi marc. Si sient entre le tenement SYMON DE PIERONNE, d'une part, et le tenement des Malades, d'autre part. "
"15","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","15.9","Sour les maisons WILLIAUME LE VESKE et sour tous les tenemens, aprés le fons de le tiere, 1 marc. Si sient entre le tenement MARIIEN LE LIENARDE, d'une part, et le tenement des Charteriers, d'autre part. "
"16","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","16.10","Sour les maisons ROBIERT CIERFUEL et sour tout le tenement, ki fu GILLION DE VALENCHIENES, aprés le fons de le tiere, 1 ferton. Si sient entre le tenement JEHAN DE RIENCOURT, d'une part, et le tenement LAMBIERT D'ARRAS, d'autre part. "
"17","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","17.11","Sour le maison UZILIIEN D'OSTRICORT et sour 3 maisons, ki furent PIERON D'OSTRICORT, en le rue dou Gardin, et sour tous les tenemens, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Robelee, d'une part. et le tenement HENRI DOU PUCH, d'autre part.   "
"18","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","A","18.1","Sour 2 maisons, ki furent GILLION DOU GARDIN, et sour tous les tenemens, aprés le fons de le tiere, 1 ferton. Si sient entre le tenement GOSSART POURCIEL, d'une part, et le tenement WATIER DE FERIN, d'autre part.  "
"19","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","B","19.2","Sour 3 maisons ALAIN LE PANETIER et sour tous les tenemens dusque a l'euve, 1 ferton. Si sient entre le tenement JEHAN DE VITERI, d'une part, et le tenement JEHAN LAVENDIER, d'autre part. "
"20","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","B","20.3","Sour 13 maisons et sour le gardin les 2 sereurs des Lices, et sour tous les tenemens dusques a l'euve, apres le fons de le tiere, 51 s. et 2 d. par. Si sient entre le tenement JEHAN LAVENDIER, d'une part, et le tenement MIKIEL DOU GARDIN, d'autre part. "
"21","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","B","21.4","Sour 4 maisons JEHAN ROUSIEL ki fu, et sour tous les tenemens dusques a l'eve, 24 s. par., aprés le fons de le tere. Si sient entre le tenement HENRI VINGRE, d'une part, et le tenement WILLIAUME DE SAILLI, d'autre part.   "
"22","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","4°","Sour le fosset si c'on va ou Mares Douysien ",NA,"22.1","Sour 4 maisons JEHAN MOUTON, ki furent veve Toullie, et sour tous les tenemens, 19 s. et 3 d. par., aprés le fons de le tiere. Si sient entre le tenement POLET LE MERCHIER, d'une part, et le tenement SYMON BUEE, d'autre part. "
"23","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","4°","Sour le fosset si c'on va ou Mares Douysien ",NA,"23.2","Sour le maison WATIER RAINGOT, devant et deriere, et sour tout le tenement, 18 d. douysiens et 6 s. par., dou fons deletiere. Si siet entre le tenement dame GHILLAIN D'ESTREES, d'une part, et le tenement BAUDE D'ESTREES, ki fu JEHAN PILATE, d'autre part.  "
"24","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2° bis","Dehuers le porte dou Markiet en le Grant rue ",NA,"24.12","Sour 2 maisons les filles MARTIN DE DICHI et sour tout le tenement, ki sient entre le porte des FRERES MENUS, d'une part, et le tenement JAKEMON LE VAKIER, d'autre part, aprés le fons de le tiere, 4 mars. "
"25","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2° bis","Dehuers le porte dou Markiet en le Grant rue ",NA,"25.13","Sour le maison JAKEMON LE VAKIER et sour tout le tenement, ki fu WILLIAUME BYSSE, ki siet entre le tenement MARTIN DE DICHI ki fu, d'une part, et le tenement ALOY LE BARBETEUR, d'autre part, aprés le fons de le tiere, demi marc.  "
"26","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","26.1","Sour le maison GHILLAIN LEUREUSE, ki fu MARIIEN LE TOILIERE, et sour tout le tenement. Si siet entre le tenement CLIMENCHIIEN DE GAIGNAING, d'une part, et le tenement WERIN CHASE DIEU, d'autre part. Aprés le fons de le tiere, 1 ferton. "
"27","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","27.2","Sour le maison WERIN CHASE DIEU et sour tout le tenement, devant et deriere, ki siet entre le tenement GHILLAIN LEUREUSE, d'une part, et le tenement RAOUL D'ERCHIN, d'autre part, aprés le fons de le tiere, marc et demi. "
"28","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","28.3","Sour 2 maisons RAOUL D'ERCHIN et sour tous les tenemens, ki sient entre le tenement WERIN CHASE DIEU, d'une part, et le tenement JEHAN DE FRANCHE, d'autre part, ki fu RIKEUT TORMENTE, 4 mars, 6 s. et 10 d. par. "
"29","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","29.4","Sour le maison SAINTAIN DE DICHI, ki fu les Rumeuses, et sour tout le tenement, ki siet entre le tenement JEHAN DE FRANCHE, d'une part, et le tenement ALAIN LE PANETIER, d'autre part, aprés le fons de le tiere, demi marc.  "
"30","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","B","30.5","Sour 3 maisons PIERON DE LE CAMBE et sour tout le tenement, ki fu ALOUL LE CAMBIER, ki sient entre le crest dou fosset de le ville, d'une part, et le tenement de le ville, d'autre part. aprés le fons de le tiere, 1/2 marc.   "
"31","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"31.1","Sour le maison HENNIN POURCELET, ki fu BERNART DE LANNOI, et sour tout le tenement, ki iet entre le tenement, ki fu Andriu, ki fu vallés segneur EUBERI LE LEU, d'une part, et le tenement JEHAN DE BAPAUMES, d'autre part, aprés le fons de le tiere, 1 ferton. "
"32","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"32.2","Sour le maison le prestre des Charteriers et sour le tenement dusques a l'eve, ki siet entre le tenement WERIN BARDE, d'une part, et le tenement ROBERT D'ESTREES ki fu, dou fons de le tiere, 1 capon et 3 d. douysiens. "
"33","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"33.3","Sour le maison GILLION LOUVRI et sour tout le tenement, ki siet entre le tenement EMMELOT BOINE BROKE, d'une part, et le tenement MARIIEN LOUVRI, d'autre part, aprés le fons de le tiere, 1 ferton. "
"34","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"34.4","Sour 2 maisons Marotain, feme SAUWALON PAINMOULLIET ki fu, ki furent VINÇAN DE PROUVINS, et sour tout le tenement, ki sient entre le ruiele Pepin, d'une part, et le tenement maistre PIERON FAUKE, d'autre part, aprés le fons de le tiere, marc et demi et 3 s. par. "
"35","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"35.5","Sour le maison maistre PIERON FAUKE et sour 2 maisons, ki sient en le ruiele Pepin, et sour tous les tenemens, ki sient entre le tenement MARIIEN PAINMOULLIET, d'une part, et le tenement HENNIN CHASSE DIEU, d'autre part, aprés le fons de le tiere, 2 mars. "
"36","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"36.6","Sour le maison MEHAUT LE FAVERESSE et sour tout le tenement dusque a l'eve, ki siet entre le tenement ROBIERT CIERFUEL, d'une part, et le tenement JEHAN DE FRANCHE, d'autre part, dou fons de le tiere, 4 lb. de douysiens. "
"37","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"37.7","Sour le maison MAROTAIN PAINMOULLIET et sour le maison GRART PAINMOULLIET, et sour tous les tenemens dusques a l'eve, ki sient entre le tenement JEHAN DE FRANCHE, d'une part, et le tenement MARIIEN LE SOURDE, d'autre part, aprés le fons de le tiere, demi marc. "
"38","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"38.8","Sour le maison MARIIEN LE SOURDE et sour tout le tenement, ki siet entre le tenement GRART PAINMOULLIET, d'une part, et le tenement HENNIN LE HUGIER, d'autre part, aprés le fons de le tiere, 3 fertons. "
"39","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"39.9","Sour les maisons HENNIN LE HUGIER et sour tous les tenemens, ki sient entre le tenement MARIIEN LE SOURDE, d'une part, et un autre tenement MARIIEN LE SOURDE, d'autre part, si c'on va a Barllet sour le fosset, aprés le fons de le tiere, 1/2 marc.  "
"40","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","7°","Sour le fosset si c'on va a Barllet ","A","40.1","Sour 2 maisons MARGOT LE MERCHIERE et sour tous les tenemens, ki sient entre le tenement de le ville, d'une part, et le tenement GILLION LE ROGIER, d'autre part, aprés le fons de le tiere, 1/2 marc.  "
"41","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","7°","Sour le fosset si c'on va a Barllet ","B","41.2","Sour 4 maisons AALIS AUDEGON et sour tous les tenemens, ki sient entre le tenement GILLION LE ROGIER, d'une part, et le wide place sour le fosset de le ville, d'autre part, aprés le fons de le tiere, 3 mars.   "
"42","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","A","42.1","Sour le maison PIERON LANGEVILLE, et sour le maison JEHAN DE HAVESKERKE, et sour le maison SARAIN DE LANNOIT, et sour tous les tenemens. Si sont ces 3 maisons tout d'un tenement. Si sient entre le tenement SIMON MALET, d'une part, et le tenement SARAIN DE LANNOIT, d'autre part, aprés le fons de le tiere, 5 fertons et 3 capons.  "
"43","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","B","43.2","Sour 4 maisons JEHAN DOU BOS et sour tous les tenemens, ki sient entre le fosset de le ville, d'une part, et le tenement RICHART POURCIEL, d'autre part, 12 douysiens et un capon, dou fons de le tiere. "
"44","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","B","44.3","Sour le maison Godin et sour tout le tenement, ki siet entre le tenement RICHART POURCIEL, d'une part, et le tenement JULIANE LE DAULEE, d'autre part, demi ferton et un capon, dou fons de le tiere. "
"45","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","B","45.4","Sour 2 maisons les enfans JAKEMON DE PROUVINS ki fu et sour tous les tenemens, ki sient entre le tenement MARIIEN LE SEBYLE, d'une part, et le tenement AGNIÉS DOU RIÉS, d'autre part, demi marc.   "
"46","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","A","46.1","Sour les maisons JEHAN DE SYM, ki furent CLIMENT LE TONDEUR, et sour tous les tenemens, ki sient entre le tenement les enfans LEURENC LOURE, d'une part, et le tenement CLIMENT LE WANTIER, d'autre part, aprés le fons de le tiere, 5 fertons et 2 capons, dou fons de le tiere. "
"47","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","A","47.2","Sour les maisons JEHAN DE SYM, ki furent WILLIAUME LE TOURNEUR, et sour tous les tenemens, ki sient entre le tenement JEHAN DE SYM, d'une part, et le tenement BAUDUIN LE SOIEUR, d'autre part, demi ferton, dou fons de le tiere. "
"48","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","A","48.3","Sour 2 maisons BAUDUIN LE SOIEUR et sour tous les tenemens, ki sient entre le tenement JEHAN DE SYM, d'une part, et le tenement YSABIEL DE HAINNAU, marc et demi et demi ferton, dou fons de le tiere.  "
"49","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","49.4","Sour le maison WISTASSE LE WANTIER et sour le tenement dusques a l'eve, ki siet entre le tenement GRART LELEU, d'une part, et le tenement ENMAIN DE BARLET, d'autre part, aprés le fons de le tiere, marc et demi. "
"50","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","50.5","Sour les maisons WILLIAUME DE BARLET et sour tous les tenemens dusques a l'eve, ki sient entre le tenement HUON DE SYM, d'une part, et le tenement ROBIERT GRAVIEL, d'autre part, aprés le fons de le tiere 1 marc. "
"51","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","51.6","Sour le maison ki fu HUON D'OYSI et sour 2 maisons JEHAN LE CARLIER, ki sient entre le tenement COLART LE BOURGOIS, ki fu GRART DE MASTAING, d'une part, et le tenement ROBIERT GRAVIEL, u les maisons sont abatues, d'autre part. aprés le fons de le tiere, 3 fertons. "
"52","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","52.7","Sour 2 maisons ROBIERT LE BLONT et Bridain, se ni[e]ce, et sour tous les tenemens, et sour 3 maisons SIMON MALET, ki furent BAUDE D'ESTREES et sour tous les tenemens, ki sient entre le tenement maistre EVRART GOULET, d'une part, et le tenement de l'ospital des Wés, d'autre part, aprés le fons de le tiere, demi marc.   "
"53","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","53.1","Sour le maison Saintain, feme PIERON CHEVALIER ki fu, et sour tout le tenement, ki siet entre le porte dou Ma[r]kiet, d'une part, et le tenement ki fu JAKEMON LE GONTIER, d'autre part, 3 mars; a prendre ce marc en 9 mars tout avant, ke AGNIÉS DOU RIÉS i a. "
"54","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","54.2","Sour le maison le femme PIERON D'AUBI, ki fu JAKEMON LE GONTIER, et sour tout le tenement, ki siet entre le tenement SAINTAIN LE CHEVALIERE, d'une part, et le tenement JEHAN DE LE CAVENE, ki fu SYMON LE CARLIER, d'autre part, 3 fertons. "
"55","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","55.3","Sour le maison JEHAN DE LE CAVENE, ki fu SYMON LE CARLIER, et sour tout le tenement, ki siet entre le tenement le feme PIERON D'AUBI, ki fu JAKEMON LE GONTIER, d'une part, et le tenement COLART LE RIKIER, ki fu WAUBIERT BAUDENNE, d'autre part, 6 mars et 3 fertons. "
"56","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","56.4","Sour le maison COLART LE RIKIER, ki fu WAUBIERT BAUDENNE, et sour tout le tenement dusques as murs de le vile, ki siet entre le tenement JEHAN DE LE CAVENE, d'une part, et le tenement WAUBIERT LE KIEVRE ki fu, d'autre part, aprés le fons de le tiere, 12 mars. "
"57","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","57.5","Sour le maison WAUBIERT LE KIEVRE ki fu et sour tout le tenement, ki fu WAUBIERT BAUDENNE, ki siet entre le tenement COLART LE RIKIER, d'une part, et le tenement AMANT DE LANDAST, d'autre part, aprés le fons de le tiere, 8 mars. "
"58","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","58.6","Sour le maison HENRI DODIN et sour tout le tenement ki fu WATIER DODIN, le pere se femme, ki siet entre le tenement AGNIÉS LE LEU, ki fu femme JAKEMON DE LANDAST, d'une part, et le tenement ROGIER LE FEVRE, d'autre part, aprés le fons de le tiere, 4 mars et demi. Si fu li mars et 1/2 Bouart. "
"59","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","59.7","Sour le maison ROGIER LE FEVRE et sour tout le tenement, ki siet entre le tenement celui Rogier, d'une part, et le tenement JEHAN DE LANETE, d'autre part, aprés le fons de le tiere, 4 mars.  "
"60","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","B","60.8","Sour le maison MIKIEL D'ARRAS, ki fu WICART LE MONNIIER, et sour tout le tenement, ki siet entre le tenement JEHAN DE MASENGARBE, ki fu JAKEMON ENLART, d'une part, et le tenement d'Anchin, d'autre part, aprés le fons de le tiere, 15 mars. "
"61","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","B","61.9","Sour le maison [Jakemon] DOU CAUÇON et sour tout le tenement, ki fu TIEBAUT LE TALLEUR, ki siet entre le tenement le provost de Douay, ki fu WERIN LE MAIEUR, d'une part, et le tenement AGNIÉS DOU RIÉS, d'autre part, 12 mars. "
"62","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","B","62.10","Sour le maison AGNIÉS DOU RIÉS et sour tout le tenement, et sour le praiel et sour le porte dou Markiet, ki siet entre le tenement JAKEMON DOU CAUÇON, d'une part, et le tenement SAINTAIN LE CHEVALIERE, d'autre part, dou fons de le tiere, demi marc.   "
"63","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","63.1","Sour les maisons MARIIEN AUDEFROI et sour les tenemens, et sour le tenement, ki fu le maistre JEHAN DE BAINNES, ki sient entre le tenement de le vile, ki siet sour le Markié, d'une part, et le tenement JEHAN DE MASENGARBE, d'autre part. aprés le fons de le tiere, 1 marc. "
"64","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","64.2","Sour le maison BLIAUT L'ORFEVRE et sour tout le tenement, ki siet entre le tenement RICOUART BOFFLIN, ki fu PIERON D'AUBI. d'une part, et le tenement PIERON LE BLANKISSEUR, d'autre part, aprés le fons de le tiere, 3 mars. "
"65","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","65.3","Sour le maison PIERON LE BLANKISSEUR et sour tout le tenement, ki siet entre le tenement BLIAUT L'ORFEVRE, d'une part, et le tenement JAKEMON PAINMOULLIET, d'autre part. aprés le fons de le tiere, 3 mars. "
"66","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","66.4","Sour le maison JEHENNAIN LE MERCHIERE et sour tout le tenement, ki fu MIKIEL DE HARNES, ki siet entre le tenement HUON L'ENFANT, sour le touket de le rue SAINT PIERE, d'une part, et le tenement, ki fu MARIIEN COSTIERE, d'autre part, aprés le fons de le tiere, 1 marc; item, 1 marc, ki fu HENNIN POURCELET. "
"67","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","67.5","Sour le maison WATIER MUSART, ki fu Gillion, sen frere, et sour tout le tenement, ki siet entre le tenement ki fu MARIIEN COSTIERE, d'une part, et le tenement BERNART CATEL, d'autre part, 2 mars et demi, aprés le gavene. Si fu li marc accatés a l'abbé de SAINT AMANT. "
"68","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","68.6","Sour le maison BERNART CATEL et sour tout le tenement, ki siet entre le tenement WATIER MUSART, d'une part, et le tenement LANVIN DE SAINT VENANT, d'autre part, ki fu PIERON DIEU AMI, un ferton, dou fons de le tiere. "
"69","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","69.7","Sour le maison YSABIEL AUDEGON et sour le maison BAUDE DE COMMINES, ki furent Tioul, et sour tous les tenemens, ki sient entre le tenement LANVIN DE SAINT VENANT, d'une part, et le tenement celui BAUDE DE COMMINES, u il maint, d'autre part, 5 mars et 1 ferton, aprés le fons de le tiere. "
"70","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","70.8","Sour le maison BAUDE DE COMMINES et sour tout le tenement, ki siet entre le tenement YSABIEL AUDEGON, d'une part, et le tenement GILLION DE CANFIN, d'autre part, aprés le fons de le tiere, 1 marc, ki fu JAKEMON POURCIEL. "
"71","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","A","71.9","Sour le maison GILLION DE CANFIN et sour tout le tenement, ki siet entre le tenement BAUDE DE COMMINES, d'une part, et le tenement HENRI POURCELET ki fu, d'autre part, 100 s. de douysiens, dou fons de le tiere.  "
"72","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","B","72.10","Sour les maisons LIEGART MALET, ki furent MARIEN DE SAINT AMANT, se mere, et sour tous les tenemens, ki sient entre le tenement WATIER PORCELET, d'une part, et le tenement EVRART L'ENFANT, d'autre part, ki fu MORANT DOU PONT, aprés le fons de le tiere, 4 mars. "
"73","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","B","73.11","Sour le maison EVRART L'ENFANT, ki fu MORANT DOU PONT, et sour tout le tenement, ki siet entre le tenement LIEGART MALET, d'une part, et le tenement ROBIERT BOINEBROKE, ki fu GRART D'AIGREMONT, d'autre part, aprés le fons de le tiere, 6 mars. "
"74","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","B","74.12","Sour le hale u li eskievin plaident et sour le praiel deriere, et sour tout le tenement, ki fu HENNOT CAVETE, ki siet entre le tenement JEHAN PAINMOULLIET, ki fu AMAN DE LENS, d'une part, et le hale u on vent les dras en gros le deluns, d'autre part, 3 mars. "
"75","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","11°","Ou Pont ","B","75.13","Sour le maison PIERON LE CORDIER, ki fu BAUDE PLATIEL, et sour tout le tenement, ki siet entre le tenement BAUDE CAPELET, d'une part, et le tenement le feme PIERON DAGHENET, d'autre part, ki fu AMOURI DE DICHI, aprés le fons de le tiere, 1 marc. Si fu cis marc Bouart.   "
"76","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","12°1","En le Grant rue au Cierf ",NA,"76.1","Sour le maison SANDRART MASENGHE et sour tout le tenement, ki siet entre le tenement COLART AGHEHIES, ki fu DRUION DE ROVECORT, d'une part, et le tenement AMOURI D'ALLUES, d'autre part, aprés le fons de le tiere, 3 mars. "
"77","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","12°1","En le Grant rue au Cierf ",NA,"77.2","Sour le maison AMOURI D'ALLUES et sour tout le tenement, ki siet entre le tenement SANDRART MASENGHE, d'une part, et le tenement WILLIAUME JOLIT, d'autre part, aprés le fons de le tiere, 2 mars et 3 fertons. "
"78","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","12°1","En le Grant rue au Cierf ",NA,"78.3","Sour les maisons WILLIAUME JOLIT et sour tous les tenemens, ki furent ERNOUL LE GOUDALIER, ki sient entro le tenement AMOURI D'ALLUES, d'une part, et le tenement BAUDUIN D'ANVIN, d'autre part, aprés le fons de le tiere, 5 mars. "
